mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-421.6 ,91.5 ,-57.7 ,8.9 ,-2.6 ,-22.1 ,-2.9 ,-17.2 ,-3.1 ,-11.2 ,-21.5 ,10.1 ,-6.5 ,-15.7 ,6.5 ,-9.5 ,-9.4 ,1.2 ,-8.5 ,-2.3 ,2746.7 ,2115.4 ,26.1 ,4832.7 ,2701.0 ,13347.6 ,0,111,버즈-가시
-356.7 ,82.1 ,-43.3 ,28.7 ,-1.1 ,-11.0 ,13.2 ,-20.3 ,-0.9 ,1.3 ,-19.8 ,7.7 ,-3.5 ,-13.1 ,3.7 ,-9.9 ,-4.6 ,1.6 ,-8.0 ,0.8 ,3113.3 ,2236.0 ,26.3 ,5527.1 ,3010.6 ,11176.9 ,0,90,스탠딩에그-오래된노래
-331.6 ,96.9 ,-43.2 ,-1.1 ,-17.1 ,-22.6 ,2.9 ,-18.8 ,-9.4 ,-0.9 ,-11.3 ,7.1 ,-2.1 ,-12.3 ,2.6 ,-1.3 ,0.1 ,4.1 ,-2.3 ,5.3 ,2523.4 ,1895.3 ,27.8 ,4352.2 ,2518.3 ,11456.0 ,1,196,아이유-에잇
-349.3 ,62.3 ,-44.8 ,4.8 ,-11.1 ,-24.9 ,4.5 ,-4.9 ,-5.0 ,-2.1 ,-6.6 ,-0.2 ,-11.0 ,-7.0 ,3.7 ,-6.1 ,0.6 ,1.2 ,-5.3 ,8.2 ,3096.9 ,1969.5 ,27.5 ,4982.9 ,3089.9 ,11537.9 ,1,196,안예은-홍연
-285.7 ,126.5 ,-45.1 ,15.7 ,-2.6 ,-25.5 ,4.6 ,-15.2 ,-12.7 ,-1.5 ,-8.9 ,-0.6 ,-11.0 ,-9.7 ,0.4 ,-10.6 ,-2.9 ,-1.6 ,-9.2 ,3.5 ,2360.2 ,1808.8 ,24.9 ,4222.2 ,2355.1 ,13613.3 ,1,175,에스파-도깨비불
-389.9 ,81.1 ,-57.3 ,5.4 ,-2.3 ,-23.6 ,-3.8 ,-14.6 ,-10.6 ,-11.9 ,-11.1 ,1.2 ,-19.5 ,-13.1 ,5.3 ,-6.5 ,6.5 ,10.8 ,-0.2 ,10.2 ,2690.8 ,2341.2 ,26.1 ,5043.0 ,2682.9 ,12272.3 ,1,233,에일리-첫눈처럼 너에게 가겠다
-388.2 ,95.9 ,-75.5 ,4.0 ,-7.2 ,-33.6 ,0.3 ,-10.2 ,-10.3 ,-9.9 ,-7.9 ,5.4 ,-18.9 ,-14.3 ,4.4 ,-10.9 ,1.8 ,4.4 ,-5.8 ,15.4 ,2765.5 ,1915.7 ,26.6 ,4781.0 ,2740.7 ,12996.3 ,1,233,윤하-비밀번호486
-249.6 ,90.2 ,-44.9 ,14.2 ,-25.1 ,2.8 ,-19.5 ,5.5 ,-4.0 ,-25.5 ,15.4 ,-15.5 ,-8.5 ,-6.6 ,-9.5 ,10.0 ,2.0 ,13.4 ,6.7 ,9.4 ,3068.9 ,2820.4 ,29.1 ,6093.7 ,3068.5 ,9734.2 ,1,294,윤하-사건의 지평선
-335.8 ,112.6 ,-50.9 ,16.6 ,-14.8 ,-24.0 ,7.9 ,-28.9 ,-13.5 ,-4.7 ,-22.6 ,-0.2 ,-11.0 ,-14.4 ,1.5 ,-13.9 ,-1.2 ,7.2 ,-5.0 ,9.1 ,2538.6 ,2163.8 ,25.4 ,4901.2 ,2518.1 ,12161.5 ,0,123,charlie puth-dangerously
-300.7 ,118.2 ,-31.6 ,-2.7 ,-22.1 ,-23.1 ,4.1 ,-14.7 ,-9.0 ,-8.4 ,-13.5 ,9.0 ,-3.9 ,-11.0 ,-0.6 ,-8.8 ,1.4 ,5.4 ,-7.3 ,2.5 ,2173.6 ,1867.9 ,26.8 ,3978.3 ,2159.1 ,10785.3 ,0,110,charlie puth-I don't think that I like her
-344.7 ,90.3 ,-78.3 ,11.1 ,-12.1 ,-30.8 ,5.3 ,-17.9 ,-0.4 ,1.4 ,-19.1 ,5.2 ,-7.8 ,-14.5 ,5.1 ,-3.7 ,7.1 ,8.3 ,-2.6 ,11.8 ,3157.3 ,2053.3 ,25.6 ,5395.1 ,3097.0 ,11560.5 ,1,466,체리필터-낭만고양이
-268.3 ,121.9 ,-58.7 ,10.8 ,-22.9 ,-29.1 ,10.2 ,-24.4 ,-7.6 ,0.5 ,-16.2 ,5.5 ,-10.9 ,-10.1 ,11.1 ,-6.5 ,4.0 ,7.5 ,-5.5 ,9.8 ,2401.4 ,2018.0 ,26.2 ,4432.7 ,2398.9 ,10908.0 ,1,220,TWICE-I can't stop me
-325.3 ,72.5 ,-37.7 ,2.4 ,-2.6 ,-1.8 ,-3.0 ,-15.1 ,-3.5 ,-10.4 ,-17.4 ,6.2 ,-2.7 ,-11.9 ,1.3 ,-12.7 ,-8.1 ,0.5 ,-16.0 ,-4.5 ,2781.4 ,2039.6 ,25.4 ,4783.3 ,2752.6 ,12798.4 ,0,150,10cm-스토커
-335.5 ,80.5 ,-43.9 ,4.0 ,-12.8 ,-22.3 ,1.1 ,-18.2 ,-8.6 ,-7.1 ,-12.0 ,10.2 ,-5.0 ,-7.9 ,9.0 ,-7.1 ,-4.2 ,-0.5 ,-11.4 ,0.3 ,2802.9 ,2007.0 ,25.4 ,4787.8 ,2780.7 ,13001.0 ,1,330,AKMU-DINOSAUR
